,retroflex_l,visarga_final,diphthongs_ai,diphthongs_au,monophthongs_e,monophthongs_o,external_sandhi_unresolved,retroflex_assimilation,subjunctive_ati,subjunctive_an,subjunctive_as,subjunctive_at,subjunctive_ama,subjunctive_full,perfect_reduplicated,perfect_periphrastic,perfect_endings,dual_nominative,dual_instrumental,dual_genitive,injunctive_augmentless,injunctive_modal,precative,benedictive,instrumental_archaic_a,instrumental_classical_ena,genitive_plural_thematic,genitive_plural_athematic,particle_sma,particle_ha,particle_vai,particle_id,particle_u,particle_hi,present_participle_ant,present_participle_at,past_participle_ta,past_participle_na,gerund_tvaa,gerund_ya,infinitive_tum,correlatives_ya_ta,conditional_yadi_tarhi,long_compounds,compound_bahuvrīhi,primary_suffixes,secondary_suffixes,ritual_sacrifice,deity_names,priestly_terms,philosophical_terms,cosmological_terms,eschatological_terms,sacrifice_roots,ritual_implements,short_syllables,long_syllables,aorist_is,aorist_root,aorist_sigmatic,action_nouns_ti,agent_nouns_tar,abstract_nouns_tva,total_words,text_period,approx_date_bce,archaism_index,innovation_index
Rigveda,4.208875646855888,87.08797240081543,9.471538340912655,5.350478281323507,152.36631644974125,135.9887094244943,0.006272541947624275,14.175944801630862,2.214207307511369,6.843343264858083,0.890700956562647,2.3835659400972244,3.079818096283519,18.152736396424654,0.01254508389524855,0.0,150.26501489728713,16.032617218127648,0.1003606711619884,0.06272541947624274,46.03418535361455,0.09408812921436413,0.5833464011290576,0.018817625842872825,109.14222988866238,3.6318017876744553,2.327113062568606,17.69484083424808,0.14426846479535832,0.7840677434530343,0.03136270973812137,1.7876744550729182,2.5403794887878313,3.0547279284930218,0.0,0.0250901677904971,17.85792692488631,8.599655010192881,0.9283362082483927,36.1235690763682,0.7338874078720402,0.1944488003763525,0.0,2.672102869687941,0.0,25.347342010349696,48.96346244315509,0.08781558726673985,8.681198055511995,0.018817625842872825,0.1003606711619884,0.01254508389524855,0.006272541947624275,7.708954053630234,0.01254508389524855,1285.927552140505,1073.2507448643562,0.570801317233809,8.925827191469343,0.0,18.34091265485338,1.4301395640583348,0.08154304531911556,159425.0,Early Vedic,1500,2.1891171397208713,1.7029951387799906
Yajurveda,0.2508780732563974,61.620845372597195,46.17886741526377,10.329255843728914,202.0347076837898,128.67449867640187,0.0,21.099711057667353,4.835891136218143,12.258421717390176,2.941329134730176,6.358461511843176,1.7215426406214855,26.956416422997734,0.060556776303268334,0.0,52.32970569406717,16.462792186445665,0.4931051784694707,0.1470664567365088,73.52457740021109,0.15571742477983289,3.581500769936156,0.15571742477983289,121.26927003131651,9.542017751786425,1.4274097271484678,12.396837206083362,0.1470664567365088,1.04676713324221,13.720435316711939,0.2854819454296936,0.7526342197691922,3.3133207605931103,0.0,0.0,16.60985864318217,11.090541031541429,1.470664567365088,35.76310189110161,0.40659549803623024,0.553661954772739,0.04325484021662024,16.35032960188245,0.0,50.39188885236258,46.758482274166475,0.31143484955966577,1.790750384968078,0.05190580825994429,0.31143484955966577,0.08650968043324048,0.060556776303268334,20.693115559631124,0.08650968043324048,1304.3237538280534,1274.7460940879284,0.35468968977628595,14.369257919961244,0.0,43.83445507552295,1.2716923023686348,0.008650968043324048,115594.0,Early Vedic,1300,1.7446118887370163,8.37846254995934
Samaveda,0.0,110.37227079951829,7.434944237918216,4.345777265825435,177.8627153254097,172.6791978637625,0.0,16.807162678674278,2.3561443007487304,0.8377401958217708,0.0,1.2042515314937956,2.9844494476150585,9.424577202994922,0.10471752447772135,0.0,191.5807110319912,16.754803916435417,0.0,0.0,8.48211948269543,0.0,0.314152573433164,0.0,132.15351589088434,3.14152573433164,0.9948164825383528,4.398136028064297,0.3665113356720247,0.3665113356720247,0.0,0.0,1.1518927692549348,3.979265930153411,0.0,0.0,21.362374993455155,12.094874077176815,1.3613278182103776,49.06016021781245,0.5759463846274674,0.0,0.0,50.84035813393371,0.0,29.216189329284255,62.09749201528876,0.10471752447772135,11.204775119116183,0.0,0.10471752447772135,0.05235876223886068,0.0,6.17833394418556,0.0,1581.1299020891145,1281.0094769359653,0.0,5.968898895230117,0.0,22.776061573904393,0.0,0.10471752447772135,19099.0,Early Vedic,1200,0.9075518788069185,25.70815225928059
Atharvaveda,0.12935089369708372,84.43085606773283,16.69802445907808,10.336312323612418,160.12464722483537,119.29680150517403,0.011759172154280339,16.944967074317965,2.4811853245531514,13.20555032925682,2.5987770460959547,4.303857008466603,3.1749764816556914,27.269520225776105,0.0,0.011759172154280339,138.89934148635936,17.96801505174036,0.5056444026340545,0.047036688617121354,48.88287864534337,0.4938852304797743,1.0936030103480714,0.25870178739416744,101.3758231420508,7.478833490122295,1.4463781749764815,17.438852304797745,0.1175917215428034,0.7408278457196613,1.1288805268109126,1.0818438381937912,2.3753527751646284,1.211194731890875,0.0,0.0,14.099247412982127,10.736124176857949,1.7873941674506113,29.762464722483536,0.29397930385700843,0.2704609595484478,0.0,5.644402634054563,0.0,36.70037629350894,39.55785512699906,0.10583254938852305,4.127469426152399,0.0,0.10583254938852305,0.15286923800564442,0.03527751646284102,6.761523988711195,0.023518344308560677,1245.5315145813734,1127.469426152399,0.7878645343367827,10.900752587017873,0.0,20.778457196613356,1.2582314205079963,0.023518344308560677,85040.0,Early Vedic,1000,0.9093759799310127,2.9691909689557856
Kausitaki-Br,0.02560360498758225,64.67470619863276,44.08940778861663,14.389226003021225,167.54999103873826,83.2373198146299,0.02560360498758225,24.45144276314105,5.018306577566121,11.496018639424431,1.203369434416366,8.42358604091456,2.7907929436464656,31.62045215966408,0.0,0.0,129.91269170699235,16.693550451903626,0.7681081496274675,0.12801802493791126,89.4589958266124,0.0512072099751645,5.376757047392273,0.12801802493791126,85.82328391837571,10.77911769977213,3.9173515631000844,23.964974268376988,1.5874235092300997,10.062216760119826,20.4828839900658,0.8449189645902143,4.608648897764805,5.12072099751645,0.0,0.0,16.181478352151984,17.64088383644417,3.1236398084850348,45.13915559310751,0.819315359602632,0.3328468648385693,0.0,2.713982128683719,0.0,84.64551808894693,52.87144429935735,1.2545766443915303,2.4835496837954785,0.4352612847888983,1.8434595591059222,0.17922523491307576,0.17922523491307576,18.972271295798446,0.17922523491307576,1347.1592800266276,1056.6095706275444,0.35845046982615153,22.223929129221393,0.0,82.28998643008936,1.4850090892797707,0.0512072099751645,39057.0,Late Vedic,900,2.2104445639279344,1.7666487441431755
Pancavimsa-Br,0.7013770369158113,62.72648633483739,57.1154700395109,15.710845626914175,193.4164075468169,131.2977813106399,0.0,40.890281252191805,3.4133682463236155,14.19119538026325,2.3145442218221772,6.1721179248591405,4.114745283239427,34.90519720384354,0.18703387651088302,0.0,71.70411240735979,17.417529750075982,0.5143431604049283,0.023379234563860377,85.00689687419634,0.07013770369158115,2.3145442218221772,0.023379234563860377,78.13340191242139,15.173123231945386,1.659925654034087,10.029691627896103,0.07013770369158115,0.4442054567133472,18.44621607088584,0.1168961728193019,1.1222032590652984,3.3666097771958943,0.0,0.0,19.03069693498235,17.020082762490354,1.1923409627568793,31.819138241413977,0.3273092838940453,0.2337923456386038,0.0,25.062539452458324,0.0,81.80394173894746,40.5395927337339,0.25717158020246417,1.1455824936291585,0.07013770369158115,0.16365464194702264,0.023379234563860377,0.07013770369158115,12.578028195356882,0.0,1436.9812732331145,1299.1139270100296,0.09351693825544151,22.444065181305962,0.0,80.58822154162674,0.2805508147663246,0.023379234563860377,42773.0,Late Vedic,850,1.3949609956436693,12.694924368176185
Satapatha-Br,0.0,62.17543859649123,96.21052631578947,14.210526315789474,277.82456140350877,142.3157894736842,0.0,25.543859649122805,9.649122807017545,0.7017543859649122,0.0,3.6140350877192984,3.6140350877192984,12.666666666666666,0.03508771929824561,0.0,156.73684210526315,17.789473684210524,0.5263157894736842,0.0,7.052631578947368,0.0,3.403508771929825,0.0,114.10526315789474,11.964912280701755,1.368421052631579,7.12280701754386,0.5263157894736842,9.719298245614036,22.52631578947368,0.0,1.7543859649122808,8.210526315789474,0.0,0.0,25.36842105263158,18.350877192982455,4.140350877192982,37.78947368421053,0.03508771929824561,0.03508771929824561,0.0,141.08771929824562,0.0,127.12280701754386,49.89473684210526,1.1228070175438596,0.2807017543859649,0.07017543859649122,0.3157894736842105,0.0,0.0,35.12280701754386,0.0,1891.8245614035088,1779.157894736842,0.0,1.1578947368421053,0.0,125.2280701754386,0.0,0.3508771929824561,28500.0,Late Vedic,800,3.3918128654970765,70.56140350877193
Gopatha-Br,0.5012028869286287,65.056134723336,54.66452820101577,12.931034482758621,211.37396418070034,108.86126704089816,0.03341352579524191,26.797647687784014,4.87837476610532,16.138732959101844,3.3747661053194333,11.761561079925153,1.3365410318096766,40.86474204758086,0.03341352579524191,0.0,92.72253408179631,15.236567762630312,0.7016840417000801,0.03341352579524191,97.23336006415397,0.16706762897620958,6.3485699010959635,0.13365410318096765,76.38331996792301,8.921411387329591,1.3031275060144347,11.89521518310612,0.36754878374766103,8.55386260358193,15.036086607858861,0.0,2.1384656508954825,3.040630847367014,0.0,0.0,14.50147019513499,11.260358192996526,1.937984496124031,27.499331729484098,0.4343758353381449,0.2673082063619353,0.0,27.632985832665064,0.0,87.91098636728148,36.38732959101844,0.40096230954290296,0.36754878374766103,0.06682705159048383,0.40096230954290296,0.06682705159048383,0.06682705159048383,23.79043036621224,0.0,1352.9804865009355,1340.483827853515,0.03341352579524191,19.747393744987974,0.0,86.87516706762898,0.6682705159048383,0.06682705159048383,29928.0,Late Vedic,750,1.9157088122605364,14.033680834001604
Brhadaranyaka-Up,0.0,75.19525337531029,43.7730822788642,17.012774716958287,195.91935581522068,114.42755948416783,0.0,20.221589877096324,1.9373978325361747,10.050251256281408,1.3925046921353756,15.801901071623176,3.0877277956045286,36.20512199551977,0.0,0.0,118.48398619604045,14.651571108554823,0.7265241872010656,0.0,81.67342737785312,0.24217472906702184,6.235999273475813,0.12108736453351092,71.68371980383847,7.265241872010656,1.2714173276018648,8.294484470545498,0.24217472906702184,6.296542955742568,11.927105406550826,0.0,1.9979415148029303,4.54077617000666,0.0,0.0,12.471998546951626,10.716231761215717,3.9958830296058605,32.63304474178119,0.5448931404007992,0.9686989162680874,0.0,13.440697463219712,0.0,78.82787431131563,39.2928497911243,0.3027184113337773,0.3632620936005328,0.0,1.0292425985348428,1.4530483744021312,0.0,6.4176303202760785,0.0,1271.5989586486648,1203.5478597808317,0.12108736453351092,13.985590603620512,0.0,76.70884543197917,0.787067869467821,0.0,16517.0,Latest Vedic,700,0.7265241872010656,6.992795301810255
Chandogya-Up,0.6411626415900834,66.39595355132863,32.841775308114265,9.831160504381279,196.33824891358555,116.9053216499252,0.0,13.891857234451805,3.205813207950417,17.952553964522334,1.5672864572202037,6.76782788345088,6.6965875899408704,37.044952625204814,0.07124029351000925,0.0,126.80772244781649,11.46968725511149,0.07124029351000925,0.07124029351000925,78.72052432856023,0.07124029351000925,3.9182161430505094,0.0,68.24820118258887,7.408990525040963,1.139844696160148,7.693951699081,0.1424805870200185,12.324570777231601,7.266509938020945,0.0,2.137208805300278,1.2823252831801668,0.0,0.0,9.759920210871268,10.258602265441334,1.638526750730213,33.48293794970436,0.4986820545700648,0.35620146755004634,0.0,14.817981050081926,0.0,90.7601339317518,40.89192847474531,0.07124029351000925,0.0,0.0,0.07124029351000925,0.1424805870200185,0.0,7.124029351000926,0.0,1228.8950630476597,1252.6180807864928,0.0,13.53565576690176,0.0,89.40656835506162,0.7836432286101018,0.0,14037.0,Latest Vedic,650,1.3298188121868395,7.658331552325995
