feature,R²,β (slope),p-value,Spearman ρ,Spearman p,MK trend,% change,first_val,last_val,abs_pct_change,Cohen's d
perfect_periphrastic,0.167492291919978,0.0018193812028111,0.0731591671686649,0.3260939615368637,0.1605756239770035,increasing,inf,0.0,0.0051477666414426,inf,0.8631834133006303
compound_bahuvrīhi,0.1428571428571428,0.0087512032904524,0.1003656219472863,0.3779644730092272,0.1003656219472863,increasing,inf,0.0,0.6125842303316706,inf,0.6324555320336759
present_participle_at,0.1428571428571428,0.0504481130861375,0.1003656219472863,0.3779644730092272,0.1003656219472863,increasing,inf,0.0,3.5313679160296307,inf,0.6324555320336758
absolute_construction,0.0362271750683213,0.0009693222429728,0.4215234365035227,0.1586958379050881,0.5039635162988787,increasing,inf,0.0,0.0411821331315408,inf,1.071416866013845
conditional_yadi_tarhi,0.0284772630073486,-0.0002806636101305,0.4769512123802036,0.0459595975021211,0.8474256802980626,increasing,inf,0.0,0.0102955332828852,inf,-0.4688357989240109
particle_vai,0.0055471901181495,-0.0913230954925221,0.7549881300153634,0.0827067669172932,0.7288508763559796,increasing,8041.172352374941,0.0313627097381213,2.5532922541555347,8041.172352374941,-0.0038920703633327455
perfect_reduplicated,0.0351004806517716,0.0105758922083384,0.4289717447165396,-0.1608094852572004,0.4982255312324151,decreasing,5973.051956408735,0.0125450838952485,0.7618694629335063,5973.051956408735,0.43225516296248073
cosmological_terms,0.1488118433243491,0.0308320893247813,0.0929883352844982,0.1957833545591994,0.4080992405908188,increasing,3059.628382726167,0.0125450838952485,0.396378031391081,3059.628382726167,0.9784114837530541
philosophical_terms,0.3023948568289205,0.0692584952899498,0.0120076699877173,0.4971794259082095,0.0257265414834539,increasing,2833.9406411028576,0.1003606711619884,2.944522518905173,2833.9406411028576,1.8571765433415452
priestly_terms,0.1669947768997089,0.0120708576669155,0.0736288383528097,0.1529266673524357,0.5197856954499753,increasing,2745.0333489482286,0.0188176258428728,0.5353677307100314,2745.0333489482286,1.167967091180067
long_compounds,0.0358486582238022,1.1088535362496446,0.42400488221532,0.431578947368421,0.0574246503843519,increasing,1507.651902557756,2.672102869687941,42.95811262283858,1507.651902557756,1.2435299920169207
eschatological_terms,0.0463203922323264,-0.0016102119769579,0.3621531158034036,-0.3247720976763067,0.1623778013432893,decreasing,1048.9557755367964,0.0062725419476242,0.0720687329801965,1048.9557755367964,-0.29530400330955103
philosophical_context,0.0084693977770744,-0.0004139894813341,0.6995798340433863,-0.057707577420032,0.809043910900431,decreasing,966.8875058555968,0.0062725419476242,0.0669209663387539,966.8875058555968,-0.1818511708403946
ritual_sacrifice,0.0105115843530263,0.005601538801571,0.6671056915431359,0.0377361177376438,0.8744960544151097,increasing,943.439428803814,0.0878155872667398,0.9163024621767846,943.439428803814,0.5180929169791288
abstract_nouns_tva,0.0517532377182218,0.0051315546635148,0.3347446357679853,-0.3390777606326941,0.1436043352851488,decreasing,638.61442713079,0.0815430453191155,0.6022886970487854,638.61442713079,0.4012608726992335
prose_particles,0.0248755636374808,0.3474240136204743,0.5066236598441258,0.1789473684210526,0.4503254416093399,increasing,613.7081363320175,1.2607809314724792,8.998296089241682,613.7081363320175,0.6532253939503737
reported_speech,0.0529459311139482,0.4314700713453898,0.329085008922454,0.2706766917293233,0.2483905691366972,increasing,477.8885171577402,2.4149286498353457,13.955595364950916,477.8885171577402,0.873394326800316
connectives,0.119683247003102,0.2385942017862223,0.1351463487721387,0.437593984962406,0.0536614400042918,increasing,461.7630854234173,0.4453504782813235,2.5018145877411087,461.7630854234173,1.375870741057689
particle_sma,0.092229422588469,0.0199988110946926,0.193016404783526,0.3760812601423672,0.1022095951076226,increasing,381.705061172254,0.1442684647953583,0.6949484965947523,381.705061172254,1.5858357435306785
gerund_tvaa,0.3348867623513801,0.3318079508782321,0.0075119953038174,0.6075187969924812,0.0044951010017488,increasing,292.0423423284293,0.9283362082483928,3.639471015499925,292.0423423284293,1.8231037928800715
diphthongs_ai,0.0589468470029182,0.8339983495903699,0.302347660306078,0.1353383458646616,0.5694186911507699,increasing,273.49215182066104,9.471538340912655,35.375452359993616,273.49215182066104,0.9674238220013563
dual_genitive,0.0431812475583853,0.004945580427891,0.3793311277418919,0.0691404138833019,0.7720899035674135,decreasing,269.3072135653948,0.0627254194762427,0.2316494988649174,269.3072135653948,0.28495642698324203
substrate_lexemes,0.0598191756731223,0.0015254825768339,0.2986860265835473,0.1154151548400641,0.6280011289798877,increasing,244.68673266103576,0.0313627097381213,0.1081030994702948,244.68673266103576,0.5974928169398646
subjunctive_an,0.3569629379929022,0.6666887067829576,0.0054058332076828,0.6511278195488721,0.0018736439667456,increasing,212.17536129878565,6.843343264858083,21.363231561986833,212.17536129878565,2.4173486953486125
diphthongs_au,0.2703167387898226,0.4254721871439015,0.018785173206457,0.5203007518796992,0.0186832211431206,increasing,184.01586412532103,5.350478281323507,15.196207125538583,184.01586412532103,1.2813939536894097
instrumental_classical_ena,0.0923799012118344,0.1533109978505494,0.1926354253988963,0.275187969924812,0.2402830280811375,increasing,174.12786453098187,3.6318017876744553,9.955780684550009,174.12786453098187,1.0434153861223074
precative,1.913636076018795e-06,-0.0004821407660613,0.9953817759742388,0.0203083880476878,0.9322755481951736,increasing,171.79598991192728,0.5833464011290576,1.585512125564324,171.79598991192728,-0.5010592327019753
subjunctive_at,0.0689231421101042,0.1636368875254148,0.2634652693953503,0.2270676691729323,0.3356744310134179,increasing,153.33179035801635,2.3835659400972244,6.038330270412182,153.33179035801635,0.4912704755907745
subordinators,0.018917429694722,0.2579942401384805,0.5630925920225831,0.193984962406015,0.4125038246613568,increasing,109.1740044313482,4.629135957346715,9.68294905255355,109.1740044313482,0.32209553779888184
past_participle_na,0.036099898421935,0.0960273727595654,0.4223555027174341,0.118796992481203,0.6178918280262935,increasing,104.42242229124284,8.599655010192881,17.579623080526517,104.42242229124284,0.7876450038566752
external_sandhi_unresolved,0.0312772841177994,-0.0002788139515121,0.4557290949396659,-0.3323349227324049,0.1522534280713071,decreasing,-100.0,0.0062725419476242,0.0,100.0,-0.6324555320336759
particle_id,0.3636167168358272,-0.0490255221848484,0.0048867129065945,-0.6212050981097568,0.0034625017932163,decreasing,-99.71204115901334,1.7876744550729182,0.0051477666414426,99.71204115901334,-1.2088982206582974
subjunctive_full,0.4260764805495189,1.0089666239500912,0.0018091344187394,0.7022556390977444,0.0005564352866091,increasing,98.47816845152394,18.152736396424658,36.02921872345683,98.47816845152394,1.8686540772500402
aorist_is,0.3436148832543974,-0.028671440389017,0.0066026980984338,-0.5561964091072573,0.0108753360572469,decreasing,-97.29445264787256,0.570801317233809,0.0154432999243278,97.29445264787256,-1.6142334494907395
retroflex_l,0.1021699559027559,-0.0510007543595303,0.1695061998217751,-0.1244527449899435,0.6011326852378868,decreasing,-97.1869296532525,4.208875646855888,0.11839863275318,97.1869296532525,-0.4872933550237007
deity_names,0.4674412668904066,-0.3364660428773603,0.0008883043695248,-0.7822490210961239,4.59600895264755e-05,decreasing,-95.07827573443676,8.681198055511995,0.4272646312397366,95.07827573443676,-1.4375263743746847
particle_u,0.2078168175653648,-0.0905287681229394,0.0433740879594988,-0.442771586464651,0.0505753411252086,decreasing,-91.48921647750532,2.5403794887878313,0.2162061989405896,91.48921647750532,-1.7548426941832083
locative_dual,0.0024845688328759,-0.0031516184049134,0.8346892433146199,-0.1882532255376917,0.426712294604852,decreasing,91.21906835719324,0.6272541947624275,1.1994296274561282,91.21906835719324,-0.26931083649909887
reduplicated_presents,0.0056125150198507,-0.0014968128926426,0.7535922559492552,-0.3532100620243464,0.126605889071555,decreasing,-83.58634606376026,0.0627254194762427,0.0102955332828852,83.58634606376026,-2.9801844786552842
subjunctive_as,0.0319951724460961,0.0458913382548085,0.4505195434876816,0.2400017088114149,0.3081053152927752,increasing,83.20874287985932,0.890700956562647,1.6318420253373074,83.20874287985932,0.4950576408143358
sacrifice_roots,0.2332461167378414,-0.7471482438238163,0.0310058463899027,-0.5578947368421052,0.0105850284475469,decreasing,-72.82198066700741,7.708954053630234,2.0951410230671423,72.82198066700741,-1.8867475760701662
injunctive_modal,0.112872939708174,-0.0073982386643665,0.1475523655982365,-0.3242517291202257,0.163091060150504,decreasing,-72.6439101062671,0.0940881292143641,0.025738833207213,72.6439101062671,-1.1750902917808963
verb_nonfinal,0.0017857425637875,-0.0366690512272214,0.859592051480012,-0.0887218045112781,0.7099206278927328,decreasing,-62.16333021191485,0.9659714599341384,0.3654914315424253,62.16333021191485,-0.4522252587217214
ritual_implements,0.1169373051811672,-0.0031398834167952,0.1400132381765451,-0.5261573235355863,0.0171701841593653,decreasing,-58.96586515940051,0.0125450838952485,0.0051477666414426,58.96586515940051,-1.2317780510560656
