Text,ttr,rttr,cttr,bilttr,uber,herdan_c,total_tokens,total_types,avg_productivity,avg_zipf_coeff,avg_entropy
Rigveda,0.2493774502116983,99.57157871635103,70.40773852378192,0.8840679907105049,103.33064133538612,0.8840679907105049,159425,39757,0.019192385884462926,3.203947689899589,1.8899963599542444
Samaveda,0.4428504110162836,61.20154227121835,43.27602555905363,0.9173692899668773,119.29452442913527,0.9173692899668773,19099,8458,0.04683324718292124,3.264657033493177,1.8788497130400452
Yajurveda,0.2681080426356589,91.15042585329174,64.45308422890417,0.8870824200705697,103.24125636258147,0.8870824200705697,115584,30989,0.018434593695258693,3.7090283074860744,1.6549494116690466
Atharvaveda (Paippalada),0.2859552548767106,94.9565221392003,67.14440072251907,0.8921751236591511,107.68088504325304,0.8921751236591511,110269,31532,0.02042920659243204,3.2179911926160174,1.9316922267078804
Atharvaveda (Saunaka),0.3050917215428034,88.96968424934437,62.911067052737366,0.8954140001823018,108.5315150479157,0.8954140001823018,85040,25945,0.022946739252621275,3.461384354186594,1.8367516611727521
Kausitaki-Br,0.22060066057300867,43.59696424634453,30.82770905773767,0.8570478578107348,73.96025854979776,0.8570478578107348,39057,8616,0.022321940732622492,3.4332592401835256,1.4914468103909844
Pancavimsa-Br,0.28225749888948637,58.37546388760238,41.27768636983406,0.8813788858314693,89.89683174138824,0.8813788858314693,42773,12073,0.03064038442502046,3.5933545831102855,1.4104943630582234
Satapatha-Br,0.34076930618647666,133.29046682842005,94.2505929618964,0.9098228282089978,132.3856169249832,0.9098228282089978,152995,52136,0.057782725757512164,3.233084312739081,1.7622964032252746
Gopatha-Br,0.3252472600908848,56.266835966887925,39.78666126809758,0.8910237072500282,94.57607261126664,0.8910237072500282,29928,9734,0.030020191071863673,3.1763017939831393,1.4021682660399406
Aitareya-Up,0.6493860845839018,17.581461152644202,12.431970404202572,0.9345583882539134,100.80964581807001,0.9345583882539134,733,476,0.15604512355742206,1.1419982280991217,1.4414300698590703
Taittiriya-Up,0.5064229249011858,22.783404004312338,16.110299469961994,0.910626790990468,85.18023594291459,0.910626790990468,2024,1025,0.08074886809052642,2.256770263470566,1.416819438946657
Chandogya-Up,0.3198689178599416,37.897380400116546,26.797494670128565,0.8806377579319888,80.00395949410168,0.8806377579319888,14037,4490,0.04089558556612899,2.813205654953012,1.309418542590456
Brhadaranyaka-Up,0.3190652055458013,41.00577560815516,28.99546200034044,0.8823782243663182,82.57098126768928,0.8823782243663182,16517,5270,0.040411361600679326,2.6408019768897746,1.3995770193937167
Prashna-Up,0.6037414965986394,20.704020444953052,14.639953254451225,0.9286254395404308,99.05313718132616,0.9286254395404308,1176,710,0.13941628708207604,1.330344188120485,1.5040730130929718
Shvetashvatara-Up,0.6716937354988399,27.889448644741197,19.720818260250468,0.9466007377224567,139.56002636309245,0.9466007377224567,1724,1158,0.09996194601605064,2.203053066174015,1.4831504154285917
Ramayana,0.28828664543852023,133.32034025051078,94.271716661234,0.8986564907226308,121.10405188237631,0.8986564907226308,213867,61655,0.07690722350540219,3.4474937670248784,1.9226833033761859
Mahabharata,0.31112051143845476,119.1095937428784,84.22320143996409,0.9018451794670478,121.18852519100363,0.9018451794670478,146567,45600,0.024418175743107992,3.776788059182232,1.6616338242924678
Bhagavata-Purana,0.2839932075409485,139.88561033642443,98.91406365930472,0.8984774121423058,122.13301706822791,0.8984774121423058,242622,68903,0.025473586151972656,2.7045617727492566,1.9176138025810943
